Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-03-04,50.679,50.803,50.121,50.214,22114215,0.0,0
2010-03-05,50.772,50.772,50.4,50.679,27595895,0.0,0
2010-03-08,51.329,51.67,51.236,51.453,28767529,0.0,0
2010-03-09,50.989,51.422,50.865,51.112,15506515,0.0,0
2010-03-10,50.741,50.803,50.462,50.555,19319249,0.0,0
2010-03-11,50.679,50.772,50.431,50.679,11114845,0.0,0
2010-03-12,50.493,50.555,50.121,50.369,18334592,0.0,0
2010-03-15,49.873,50.183,49.842,50.09,14751038,0.0,0
2010-03-16,49.904,50.152,49.873,49.935,21001109,0.0,0
2010-03-17,49.997,50.494,49.935,50.401,18041289,0.1,0
2010-03-18,50.742,50.804,50.432,50.525,13214321,0.0,0
2010-03-19,50.246,50.525,50.152,50.215,11620589,0.0,0
2010-03-22,49.594,49.594,49.005,49.16,37097019,0.0,0
2010-03-23,49.563,49.687,49.191,49.222,16172646,0.0,0
2010-03-24,49.346,49.594,49.005,49.067,18106994,0.0,0
2010-03-25,48.571,48.633,48.292,48.602,26099054,0.0,0
2010-03-26,49.005,49.966,48.881,49.718,24230001,0.0,0
2010-03-29,49.501,49.904,49.47,49.563,13455262,0.0,0
2010-03-30,49.253,49.873,49.253,49.656,19171789,0.0,0
2010-03-31,49.005,49.191,48.788,49.067,26606188,0.0,0
2010-04-01,48.974,49.346,48.881,49.222,20815414,0.0,0
2010-04-07,49.005,49.718,49.005,49.594,21564107,0.0,0
2010-04-08,49.594,49.749,49.315,49.346,16142124,0.0,0
2010-04-09,49.811,50.866,49.78,50.835,36388386,0.0,0
2010-04-12,51.269,51.579,51.114,51.3,31235575,0.0,0
2010-04-13,51.486,51.61,51.021,51.269,21483339,0.0,0
2010-04-14,51.3,51.672,51.145,51.176,18149859,0.0,0
2010-04-15,51.796,52.324,51.641,52.293,45130499,0.0,0
2010-04-16,52.541,52.665,51.486,52.448,36689202,0.0,0
2010-04-19,51.579,51.579,50.587,50.773,36604355,0.0,0
2010-04-20,51.393,51.393,51.139,51.269,16692488,0.0,0
2010-04-21,51.486,51.517,50.804,50.897,17411621,0.0,0
2010-04-22,50.525,51.176,50.432,51.114,13739171,0.0,0
2010-04-23,50.556,50.68,50.152,50.308,19093681,0.0,0
2010-04-26,50.99,51.517,50.866,51.455,18691327,0.0,0
2010-04-27,51.145,51.145,50.401,50.525,13346597,0.0,0
2010-04-28,49.346,49.594,49.005,49.067,47672223,0.0,0
2010-04-29,49.222,49.532,48.881,49.067,32136443,0.0,0
2010-04-30,49.625,50.277,49.501,50.215,21500668,0.0,0
2010-05-03,49.129,49.284,48.912,49.005,22967486,0.0,0
2010-05-04,49.439,49.594,48.974,49.036,17033910,0.0,0
2010-05-05,48.23,48.633,48.012,48.105,35799927,0.0,0
2010-05-06,47.702,47.888,47.082,47.671,34859144,0.0,0
2010-05-07,45.221,45.965,44.353,45.624,114016678,0.0,0
2010-05-10,48.509,48.509,47.107,48.198,69101594,0.0,0
2010-05-11,48.012,48.043,46.803,47.299,33747780,0.0,0
2010-05-12,48.23,48.23,47.33,48.105,22486194,0.0,0
2010-05-13,47.594,48.167,47.454,47.609,23712990,0.0,0
2010-05-14,46.772,47.113,46.213,46.276,28826325,0.0,0
2010-05-17,46.504,46.504,44.911,45.221,45069622,0.0,0
2010-05-18,45.221,46.151,45.221,45.903,23883566,0.0,0
2010-05-19,45.518,45.518,44.525,44.804,34289496,0.08,0
2010-05-20,44.525,45.363,44.338,45.115,32470136,0.0,0
2010-05-24,44.959,44.959,44.276,44.494,27724493,0.0,0
2010-05-25,44.584,44.584,43.034,43.19,41947509,0.0,0
2010-05-26,42.916,43.997,42.916,43.562,24898346,0.0,0
2010-05-27,43.096,43.873,42.817,43.531,27234290,0.0,0
2010-05-28,44.897,45.022,44.338,44.463,30813191,0.0,0
2010-05-31,43.997,44.369,43.376,44.214,16530146,0.0,0
2010-06-01,44.09,44.276,43.593,43.717,15547928,0.0,0
2010-06-02,44.649,45.053,44.183,44.369,33953851,0.0,0
2010-06-03,45.208,45.425,44.99,45.27,21361376,0.0,0
